Compactness,Major_Axis_Length,Extent,Area,class
0.7587,433.7324,0.6958,85039,0
0.7232,489.5147,0.6871,98441,0
0.797,427.7433,0.7115,91282,0
0.7297,418.7888,0.6416,73346,0
0.7146,471.9775,0.7539,89332,0
0.6872,449.795,0.5964,75040,0
0.7308,432.7165,0.6983,78532,0
0.8359,418.7244,0.7516,96211,0
0.7366,430.87,0.6653,79102,0
0.8076,397.4495,0.7258,80920,0
0.7412,389.2751,0.7471,65386,0
0.727,472.8681,0.7131,92816,0
0.7066,476.114,0.6839,88903,0
0.7724,399.9927,0.7352,74959,0
0.7739,357.5699,0.6804,60145,0
0.7349,470.8153,0.7501,94019,0
0.6996,431.6635,0.7259,71623,0
0.7856,376.118,0.6983,68575,0
0.7804,428.9861,0.7283,88037,0
0.732,426.9315,0.7341,76709,0
0.7346,421.5085,0.6739,75307,0
0.7826,411.2506,0.7379,81357,0
0.7626,369.045,0.718,62211,0
0.7335,401.9448,0.7319,68265,0
0.7133,447.8462,0.6395,80150,0
0.7518,429.8897,0.7016,82031,0
0.7675,357.889,0.725,59259,0
0.6767,481.648,0.6899,83446,0
0.7511,426.8265,0.6708,80722,0
0.705,405.1633,0.6974,64073,0
0.7324,398.6842,0.6592,66968,0
0.7181,405.2955,0.7516,66523,0
0.7445,481.9419,0.6526,101124,0
0.7281,436.0194,0.6435,79149,0
0.7518,401.4022,0.7208,71517,0
0.7748,382.1779,0.7225,68860,0
0.7031,475.475,0.751,87776,0
0.7057,485.4328,0.7177,92175,0
0.7633,399.4726,0.6672,73018,0
0.7126,418.073,0.7221,69718,0
0.7839,342.3154,0.7351,56561,0
0.7382,433.3406,0.6576,80375,0
0.7089,412.7968,0.644,67258,0
0.7644,401.8534,0.7378,74104,0
0.7284,442.772,0.6411,81694,0
0.818,345.0958,0.7357,62584,0
0.7647,390.8671,0.7329,70175,0
0.734,475.3285,0.696,95608,0
0.7498,473.7952,0.7203,99115,0
0.7366,412.8169,0.6982,72614,0
0.733,447.58,0.7432,84534,0
0.7257,441.5689,0.7535,80658,0
0.7881,410.7504,0.7325,82306,0
0.7876,402.3104,0.7338,78850,0
0.7894,412.3368,0.7238,83219,0
0.744,394.4112,0.697,67629,0
0.7461,477.4395,0.6881,99655,0
0.7283,477.8186,0.7582,95117,0
0.703,503.9363,0.7102,98565,0
0.7124,394.7356,0.6651,62105,0
0.767,394.1106,0.6877,71757,0
0.7975,380.8485,0.7295,72457,0
0.7611,438.5324,0.7197,87484,0
0.7985,428.3266,0.7189,91865,0
0.7216,431.7982,0.7093,76259,0
0.7566,395.4998,0.7509,70334,0
0.7454,398.5365,0.6751,69309,0
0.7672,457.7499,0.7021,96856,0
0.7783,474.7988,0.7399,107244,0
0.7125,442.9966,0.7479,78250,0
0.7493,422.1389,0.6673,78571,0
0.729,442.0139,0.626,81547,0
0.7122,485.719,0.6118,93985,0
0.7853,401.9451,0.7214,78244,0
0.7235,420.4868,0.728,72684,0
0.7283,409.4711,0.6654,69852,0
0.7249,466.9481,0.7075,89976,0
0.762,391.8565,0.7276,70023,0
0.7392,417.3302,0.7228,74744,0
0.7499,424.1414,0.7564,79451,0
0.7464,473.5252,0.6814,98111,0
0.708,414.3306,0.6701,67582,0
0.737,415.1832,0.6581,73537,0
0.7467,402.991,0.6686,71109,0
0.7325,439.6717,0.7376,81463,0
0.7248,466.5271,0.7496,89806,0
0.7139,402.3724,0.6382,64809,0
0.7444,411.486,0.7208,73692,0
0.63,538.0211,0.5071,90239,0
0.7465,419.0763,0.7434,76863,0
0.7379,472.5344,0.7387,95497,0
0.7697,373.5265,0.7403,64916,0
0.6982,423.7982,0.6664,68772,0
0.7087,441.4888,0.6414,76888,0
0.678,483.522,0.5891,84397,0
0.7314,404.3318,0.7393,68693,0
0.8353,353.3552,0.736,68426,0
0.7518,404.1488,0.6619,72508,0
0.7719,429.1133,0.7435,86168,0
0.7912,436.6288,0.7355,93734,0
0.7229,446.1777,0.6719,81702,0
0.7551,389.1961,0.6802,67828,0
0.7171,418.0043,0.7094,70565,0
0.7189,491.1406,0.7756,97902,0
0.7461,366.4001,0.7224,58698,0
0.7864,391.779,0.7258,74559,0
0.7419,439.893,0.6868,83655,0
0.7622,476.6714,0.6783,103683,0
0.7508,445.6384,0.7415,87913,0
0.798,371.6018,0.7436,69069,0
0.7121,430.5646,0.7265,73827,0
0.7738,450.7725,0.7381,95554,0
0.767,376.7856,0.7633,65593,0
0.7959,418.2299,0.7035,87034,0
0.7096,451.0502,0.7466,80452,0
0.7445,405.569,0.6897,71614,0
0.7732,451.5354,0.7203,95740,0
0.7464,391.0035,0.7111,66900,0
0.733,474.3818,0.7243,94954,0
0.726,489.2759,0.6959,99109,0
0.7372,437.1296,0.6551,81555,0
0.7986,357.6842,0.7408,64088,0
0.7767,374.0703,0.7374,66300,0
0.7142,433.8408,0.6168,75406,0
0.7587,427.4416,0.7493,82602,0
0.7377,469.3919,0.6757,94164,0
0.7199,475.976,0.6559,92224,0
0.5884,614.8959,0.7472,102803,0
0.774,423.9317,0.6913,84554,0
0.6968,530.2599,0.7027,107230,0
0.7781,350.299,0.6359,58347,0
0.7803,404.3107,0.7172,78173,0
0.6878,464.6505,0.7025,80206,0
0.7504,381.2829,0.6737,64292,0
0.7135,414.1802,0.6175,68588,0
0.6997,452.0596,0.7059,78586,0
0.7462,420.2079,0.7567,77223,0
0.7404,461.5008,0.6633,91710,0
0.7138,413.0075,0.707,68256,0
0.7472,393.7953,0.7425,67991,0
0.7454,463.5269,0.7284,93769,0
0.7804,432.3557,0.7457,89404,0
0.6714,491.6035,0.6871,85569,0
0.7499,470.956,0.7247,97951,0
0.7206,401.4937,0.7324,65744,0
0.7347,389.6264,0.6445,64356,0
0.6964,417.8968,0.6742,66511,0
0.7412,438.9682,0.6906,83148,0
0.7331,502.5752,0.6764,106610,0
0.6937,511.9447,0.6015,99057,0
0.7167,472.6102,0.7378,90115,0
0.8158,362.656,0.7502,68743,0
0.711,486.5058,0.6997,93982,0
0.7653,364.6161,0.7313,61151,0
0.7523,465.6498,0.7441,96389,0
0.7692,389.9238,0.7399,70661,0
0.7604,478.2383,0.7367,103877,0
0.7865,411.4267,0.7428,82245,0
0.7186,462.6391,0.69,86817,0
0.7144,429.1019,0.7493,73804,0
0.7531,443.9409,0.75,87798,0
0.7439,402.9124,0.7396,70560,0
0.7636,457.9938,0.7396,96056,0
0.7022,441.7813,0.7582,75580,0
0.7919,463.7643,0.7699,105937,0
0.7655,355.2475,0.7272,58083,0
0.7454,403.9959,0.7564,71221,0
0.7458,389.113,0.6789,66148,0
0.6737,484.7603,0.6772,83762,0
0.7653,426.2496,0.7064,83568,0
0.8028,364.6112,0.7249,67292,0
0.7603,429.2619,0.728,83667,0
0.8093,431.1888,0.7437,95640,0
0.7865,427.3974,0.7155,88746,0
0.788,366.5976,0.6933,65545,0
0.743,374.7772,0.6683,60897,0
0.7098,427.1945,0.6363,72207,0
0.7703,399.1821,0.7416,74251,0
0.706,441.9541,0.7438,76461,0
0.7406,476.5714,0.7037,97849,0
0.7723,433.786,0.7409,88144,0
0.7659,425.491,0.7057,83418,0
0.7041,444.2218,0.6115,76833,0
0.746,461.3713,0.7036,93040,0
0.7572,408.8475,0.6939,75275,0
0.7759,442.2674,0.735,92478,0
0.7329,460.9889,0.6878,89661,0
0.7514,402.3638,0.7488,71792,0
0.7673,407.9159,0.7445,76934,0
0.694,453.8754,0.7115,77916,0
0.7157,419.7653,0.7445,70878,0
0.7242,467.6129,0.6978,90072,0
0.7292,479.5474,0.7332,96035,0
0.717,415.3868,0.6843,69671,0
0.7123,444.2062,0.6356,78626,0
0.7583,387.4253,0.7298,67781,0
0.7514,408.2996,0.7538,73917,0
0.7198,413.306,0.7593,69520,0
0.7391,456.4168,0.7293,89376,0
0.7122,439.9429,0.745,77103,0
0.751,407.6386,0.6771,73600,0
0.6824,465.2679,0.6828,79175,0
0.7564,374.2026,0.7566,62922,0
0.7499,413.9199,0.7255,75667,0
0.8491,405.6369,0.7755,93178,0
0.6818,453.497,0.6135,75094,0
0.7628,422.1394,0.6962,81442,0
0.7577,438.6087,0.7313,86749,0
0.7414,423.1511,0.6564,77291,0
0.7443,387.4832,0.6759,65321,0
0.7357,422.841,0.7236,75998,0
0.714,455.1978,0.7019,82957,0
0.7737,410.1806,0.7036,79101,0
0.7263,397.3311,0.6569,65407,0
0.7449,384.9825,0.6804,64587,0
0.7414,449.8483,0.7292,87355,0
0.7233,407.3614,0.7332,68177,0
0.7944,383.8573,0.7199,73040,0
0.7679,403.3483,0.7519,75355,0
0.7079,422.1215,0.6162,70129,0
0.7289,448.6445,0.6689,83987,0
0.7257,453.3595,0.6954,85020,0
0.7093,424.0874,0.7617,71069,0
0.7537,455.4368,0.7125,92549,0
0.8164,402.3109,0.7448,84726,0
0.6851,443.2489,0.7523,72430,0
0.6928,427.2525,0.7786,68805,0
0.7439,430.1269,0.7502,80417,0
0.7301,441.5831,0.6542,81646,0
0.763,374.1578,0.7444,64005,0
0.7107,435.491,0.6804,75226,0
0.7825,436.7575,0.7342,91739,0
0.7329,394.7692,0.6483,65739,0
0.7492,458.9213,0.7629,92851,0
0.7298,440.9811,0.6485,81348,0
0.7718,396.1797,0.735,73428,0
0.8022,366.0779,0.7286,67736,0
0.7503,383.8197,0.7327,65139,0
0.7346,477.3562,0.653,96587,0
0.7575,366.508,0.7305,60544,0
0.7449,442.4876,0.6702,85332,0
0.7519,376.2576,0.6808,62862,0
0.7893,349.2239,0.7221,59680,0
0.7722,435.2677,0.7258,88735,0
0.7548,394.7811,0.7585,69735,0
0.7286,389.3228,0.6888,63196,0
0.8029,422.2613,0.7181,90274,0
0.7574,435.6517,0.7446,85506,0
0.7558,464.0005,0.7444,96580,0
0.7504,396.6914,0.663,69598,0
0.7443,432.6654,0.6977,81458,0
0.7113,469.6673,0.6925,87646,0
0.7675,414.3993,0.7075,79453,0
0.7053,489.0691,0.6987,93462,0
0.7064,425.0707,0.7286,70804,0
0.7463,429.9383,0.684,80857,0
0.7134,422.7619,0.6405,71451,0
0.8114,391.1249,0.749,79094,0
0.816,329.9696,0.7109,56944,0
0.6512,533.1532,0.7389,94685,0
0.7627,399.4543,0.6915,72908,0
0.751,395.2678,0.7337,69209,0
0.6989,445.1326,0.7508,76009,0
0.746,441.5856,0.7038,85234,0
0.7837,390.5446,0.7499,73570,0
0.7283,415.534,0.6978,71929,0
0.7489,439.883,0.7211,85227,0
0.6891,486.0166,0.722,88100,0
0.722,493.4253,0.6362,99691,0
0.6862,427.9402,0.6422,67728,0
0.7403,415.7672,0.6612,74399,0
0.7194,450.4995,0.7427,82501,0
0.7374,454.5878,0.643,88264,0
0.8127,334.1895,0.7232,57933,0
0.7575,432.3185,0.6747,84227,0
0.7994,355.4745,0.7445,63415,0
0.7291,421.2427,0.6373,74091,0
0.7677,443.1161,0.7139,90880,0
0.7823,469.2956,0.7311,105853,0
0.7127,447.6662,0.7373,79959,0
0.7831,447.5833,0.7349,96500,0
0.7776,407.9096,0.722,79015,0
0.7154,441.6902,0.7113,78423,0
0.8377,378.7703,0.7801,79066,0
0.7835,347.5851,0.718,58242,0
0.7207,455.7148,0.7421,84726,0
0.7385,426.5796,0.6677,77944,0
0.7082,470.0361,0.7623,87034,0
0.7097,470.9619,0.7415,87735,0
0.7584,364.1592,0.753,59905,0
0.7851,343.189,0.6875,57012,0
0.7716,429.9511,0.7385,86429,0
0.7455,468.372,0.7322,95746,0
0.7296,473.8017,0.664,93850,0
0.7537,436.4484,0.7147,84985,0
0.7442,382.7031,0.6592,63711,0
0.7492,380.6654,0.7402,63873,0
0.732,461.9005,0.7275,89789,0
0.7145,415.7028,0.6516,69296,0
0.7594,422.6966,0.715,80926,0
0.7102,427.3863,0.6331,72365,0
0.7157,418.0061,0.6469,70303,0
0.7314,424.6478,0.6735,75768,0
0.7193,429.5682,0.6791,74979,0
0.7017,456.96,0.6942,80741,0
0.7676,347.4268,0.7083,55858,0
0.7837,419.5984,0.7147,84922,0
0.7496,442.4914,0.6898,86416,0
0.7335,410.6162,0.7013,71247,0
0.6914,456.7791,0.7283,78327,0
0.7137,455.1352,0.7301,82864,0
0.7272,400.8477,0.7201,66728,0
0.7435,439.5214,0.6668,83862,0
0.7265,425.9047,0.7417,75197,0
0.7434,408.1583,0.6656,72307,0
0.7552,353.1879,0.6792,55879,0
0.7776,378.0646,0.7413,67879,0
0.7211,437.9891,0.7448,78351,0
0.7668,398.0622,0.6897,73178,0
0.7743,390.4901,0.7201,71802,0
0.7457,457.4622,0.7187,91385,0
0.6499,505.6155,0.5465,84810,0
0.7445,444.88,0.6673,86159,0
0.7323,410.0354,0.716,70809,0
0.7821,456.8741,0.7079,100266,0
0.7787,397.2112,0.7404,75143,0
0.785,351.2843,0.7135,59729,0
0.7347,389.2851,0.7335,64253,0
0.7853,423.9326,0.7154,87044,0
0.7377,420.1831,0.6545,75453,0
0.7253,418.4959,0.6399,72370,0
0.7983,420.8444,0.713,88653,0
0.7525,454.0266,0.7159,91690,0
0.7548,467.8307,0.6757,97938,0
0.75,484.0384,0.6862,103519,0
0.7451,439.8464,0.7289,84348,0
0.735,393.2899,0.7567,65624,0
0.7002,517.1858,0.6066,102990,0
0.7278,438.9092,0.6956,80153,0
0.7376,412.7664,0.6741,72800,0
0.7079,485.3214,0.7466,92713,0
0.6938,443.5495,0.7153,74371,0
0.7264,422.672,0.7244,74028,0
0.7299,419.0216,0.7423,73470,0
0.7623,399.5462,0.7046,72864,0
0.7692,460.7255,0.7212,98628,0
0.7044,400.6863,0.6115,62557,0
0.7942,393.8825,0.7518,76848,0
0.7559,422.7077,0.7315,80184,0
0.7171,422.1195,0.7131,71962,0
0.7465,456.3653,0.6796,91158,0
0.793,385.1922,0.7388,73288,0
0.7694,356.5915,0.726,59113,0
0.7239,468.9082,0.7195,90489,0
0.7356,454.6367,0.7319,87843,0
0.7267,480.4405,0.6826,95725,0
0.7183,441.6971,0.6296,79055,0
0.7364,443.0737,0.694,83607,0
0.7227,425.3621,0.7426,74217,0
0.6977,469.0068,0.721,84099,0
0.6997,440.8381,0.7234,74717,0
0.6889,440.8155,0.7269,72433,0
0.7389,388.4194,0.6945,64691,0
0.7427,402.984,0.7653,70357,0
0.6718,446.422,0.5765,70648,0
0.7687,467.8848,0.7538,101604,0
0.8247,392.3595,0.748,82225,0
0.7498,452.3181,0.6711,90332,0
0.7844,400.9049,0.7328,77669,0
0.7638,424.8677,0.7393,82714,0
0.7683,441.8533,0.702,90502,0
0.7381,475.0486,0.6654,96554,0
0.7391,388.9481,0.7344,64911,0
0.7493,391.7248,0.7481,67668,0
0.7372,401.2474,0.6857,68713,0
0.7077,484.2714,0.6955,92239,0
0.7607,387.1017,0.7431,68104,0
0.703,439.5231,0.6735,74990,0
0.7195,449.4076,0.7631,82106,0
0.7115,481.6156,0.702,92227,0
0.7011,472.9563,0.7207,86344,0
0.7541,436.0889,0.6729,84930,0
0.6761,485.3229,0.7316,84565,0
0.7782,406.187,0.7021,78479,0
0.7658,405.7418,0.729,75821,0
0.7073,408.5607,0.6633,65594,0
0.7485,388.0023,0.6813,66242,0
0.8149,355.6746,0.744,65981,0
0.7995,379.7803,0.7514,72410,0
0.7964,422.0802,0.7334,88750,0
0.7773,346.6923,0.7147,57041,0
0.7345,453.3588,0.7198,87086,0
0.7794,391.2823,0.7315,73040,0
0.7199,423.9322,0.6218,73152,0
0.7737,383.5814,0.724,69181,0
0.7368,403.8535,0.709,69547,0
0.7842,397.6275,0.6886,76356,0
0.7654,393.348,0.681,71191,0
0.7194,389.2343,0.6249,61589,0
0.7194,488.0411,0.6758,96802,0
0.7487,426.8217,0.7297,80207,0
0.7171,444.1217,0.7094,79661,0
0.7612,434.1433,0.6642,85778,0
0.7111,479.1129,0.6405,91162,0
0.7316,447.3685,0.7539,84130,0
0.7447,405.0498,0.7124,71468,0
0.6905,479.1606,0.7495,85968,0
0.7356,420.5042,0.6503,75155,0
0.7375,448.2873,0.6854,85845,0
0.7068,512.6586,0.6457,103124,0
0.7465,434.9627,0.6944,82804,0
0.7451,485.8772,0.6668,102947,0
0.7353,413.2742,0.6903,72519,0
0.7536,450.5074,0.7492,90535,0
0.8049,405.1468,0.761,83512,0
0.7598,438.4773,0.7317,87169,0
0.7581,410.0357,0.7507,75885,0
0.7979,416.7871,0.7148,86861,0
0.7461,468.41,0.7389,95914,0
0.7516,407.465,0.6834,73662,0
0.781,396.5665,0.7423,75340,0
0.7241,416.1416,0.7258,71306,0
0.7479,422.0653,0.6689,78249,0
0.7523,438.2698,0.7093,85386,0
0.7028,458.4715,0.769,81531,0
0.706,452.3831,0.6118,80105,0
0.7105,398.9717,0.6982,63117,0
0.7322,424.3345,0.6445,75824,0
0.7153,454.3305,0.6897,82959,0
0.7107,422.9132,0.6304,70952,0
0.7247,416.378,0.7139,71503,0
0.6929,510.2399,0.6241,98177,0
0.7569,445.7125,0.6795,89393,0
0.7057,505.2826,0.7317,99852,0
0.7397,464.0699,0.7325,92541,0
0.7368,410.1917,0.7445,71747,0
0.7828,371.4689,0.7156,66407,0
0.7134,436.158,0.7068,76030,0
0.6801,454.7031,0.7586,75106,0
0.7193,405.1613,0.7179,66709,0
0.7683,381.756,0.7385,67568,0
0.6988,415.459,0.6375,66198,0
0.7476,387.2009,0.6548,65804,0
0.7632,392.7862,0.6793,70573,0
0.7544,408.087,0.6733,74431,0
0.7283,477.5088,0.7302,94983,0
0.7475,442.4507,0.7253,85899,0
0.7737,400.8564,0.7054,75537,0
0.7374,396.569,0.7459,67164,0
0.7381,432.0034,0.744,79843,0
0.7641,392.4988,0.7322,70636,0
0.7342,409.6003,0.7108,71039,0
0.74,466.5363,0.6723,93623,0
0.7108,444.5431,0.717,78407,0
0.7136,409.7415,0.677,67146,0
0.7295,408.7731,0.64,69843,0
0.7196,414.5119,0.6334,69874,0
0.7389,455.4718,0.7439,88968,0
0.7155,417.4645,0.6325,70074,0
0.7052,429.3661,0.6383,72007,0
0.7486,417.3221,0.7342,76663,0
0.7504,403.8373,0.7445,72119,0
0.7322,424.7328,0.7621,75967,0
0.7241,387.6402,0.7289,61873,0
0.6874,434.2594,0.6912,69992,0
0.6986,484.5063,0.6071,89971,0
0.7372,406.2796,0.6972,70452,0
0.7577,431.2462,0.7117,83848,0
0.7234,387.5365,0.7553,61726,0
0.7121,476.4243,0.6248,90393,0
0.6843,485.0309,0.6964,86521,0
0.802,413.2415,0.7407,86271,0
0.7264,414.9604,0.6529,71362,0
0.7342,433.5245,0.7274,79564,0
0.7028,452.8789,0.7376,79558,0
0.7755,376.4136,0.7121,66922,0
0.727,395.6425,0.7153,64970,0
0.7533,361.4551,0.6884,58234,0
0.8309,348.0645,0.693,65694,0
0.7423,432.0108,0.6636,80760,0
0.765,380.9275,0.7302,66692,0
0.7427,429.4565,0.6869,79906,0
0.7688,387.5061,0.7647,69701,0
0.7967,367.0278,0.7756,67155,0
0.7712,428.6831,0.7468,85833,0
0.7666,470.3148,0.7005,102083,0
0.6817,425.5992,0.6922,66104,0
0.7636,357.5607,0.6839,58555,0
0.72,447.6351,0.7428,81583,0
0.7847,403.3284,0.7477,78665,0
0.7864,425.8628,0.7441,88078,0
0.7243,409.9227,0.7276,69230,0
0.6749,482.5423,0.7217,83307,0
0.7421,440.2412,0.6637,83831,0
0.7764,468.9325,0.705,104098,0
0.7944,384.3956,0.7141,73241,0
0.775,389.4194,0.7249,71533,0
0.6949,450.0162,0.747,76809,0
0.7702,390.9275,0.6939,71193,0
0.7388,467.2541,0.7235,93586,0
0.6852,450.2176,0.7742,74735,0
0.7056,439.4406,0.6364,75519,0
0.7639,378.4164,0.7476,65627,0
0.7294,438.6483,0.6895,80397,0
0.7718,435.9188,0.7272,88901,0
0.7232,485.8869,0.7138,96992,0
0.7823,372.6831,0.7326,66755,0
0.7931,373.5179,0.7313,68916,0
0.676,475.3533,0.5881,81094,0
0.7539,373.0999,0.7473,62146,0
0.7115,424.3977,0.6183,71614,0
0.7235,405.0178,0.6643,67437,0
0.7937,395.1349,0.7343,77240,0
0.7421,385.7231,0.7272,64346,0
0.7459,411.1656,0.7506,73864,0
0.7268,418.1253,0.6394,72540,0
0.7317,448.2374,0.7272,84484,0
0.7416,442.5786,0.6707,84614,0
0.7607,387.2451,0.6553,68156,0
0.7264,401.4706,0.7465,66790,0
0.8256,356.6101,0.7391,68076,0
0.7727,368.403,0.7504,63644,0
0.7393,499.1699,0.7313,106959,0
0.711,423.9298,0.7118,71362,0
0.7416,378.1497,0.6687,61771,0
0.7066,487.4302,0.7293,93169,0
0.7453,490.9413,0.6976,105158,0
0.7639,440.0256,0.7262,88750,0
0.7618,367.6871,0.753,61627,0
0.7806,375.0199,0.6897,67306,0
0.7112,431.518,0.6127,73972,0
0.7477,385.8947,0.7463,65388,0
0.7019,398.9668,0.6486,61584,0
0.8468,371.9293,0.7455,77905,0
0.7274,444.589,0.7324,82133,0
0.781,445.366,0.6947,95029,0
0.7895,399.5385,0.7417,78148,0
0.7958,455.1749,0.7566,103042,0
0.7644,386.3475,0.7349,68506,0
0.7176,460.0186,0.7231,85592,0
0.763,398.5861,0.7424,72637,0
0.746,417.1863,0.7133,76078,0
0.7583,436.3853,0.7278,86012,0
0.7264,440.6685,0.6674,80481,0
0.7638,433.9604,0.7248,86298,0
0.7435,426.057,0.7543,78819,0
0.7612,427.6975,0.75,83237,0
0.7175,427.9002,0.662,74041,0
0.7723,395.4755,0.7799,73257,0
0.7043,459.9338,0.6344,82405,0
0.7666,389.6974,0.6869,70087,0
0.7534,407.3151,0.7264,73959,0
0.7499,417.3471,0.6703,76930,0
0.7408,417.4273,0.6705,75110,0
0.8665,342.3836,0.7391,69132,0
0.782,384.2029,0.7182,70905,0
0.6782,513.2519,0.7451,95150,0
0.7303,414.9175,0.6819,72109,0
0.7357,390.7908,0.6486,64916,0
0.7297,446.3463,0.6441,83314,0
0.7723,453.4745,0.7393,96327,0
0.7649,382.8355,0.6984,67355,0
0.7358,403.6807,0.7112,69297,0
0.7268,501.9452,0.7189,104535,0
0.7437,436.5554,0.6954,82798,0
0.736,424.9793,0.6582,76840,0
0.7681,388.4735,0.7286,69924,0
0.7139,413.0049,0.7134,68275,0
0.7623,371.5589,0.7301,63011,0
0.7968,415.7849,0.7305,86209,0
0.682,453.2528,0.7464,75039,0
0.7097,415.3918,0.6296,68249,0
0.7258,427.7998,0.7441,75716,0
0.7454,438.4762,0.6836,83911,0
0.777,371.1606,0.7614,65317,0
0.6823,406.4673,0.733,60409,0
0.7323,393.1779,0.7325,65102,0
0.8085,383.842,0.7518,75648,0
0.7361,372.017,0.6779,58889,0
0.7488,480.9564,0.68,101872,0
0.7359,411.1628,0.6479,71905,0
0.7113,471.6906,0.7394,88424,0
0.7432,487.191,0.668,102978,0
0.7372,406.3263,0.7154,70464,0
0.7322,485.8489,0.6394,99386,0
0.7512,409.5914,0.7071,74353,0
0.7566,401.7252,0.7393,72566,0
0.792,366.4961,0.6892,66174,0
0.6836,462.3931,0.593,78483,0
0.8051,393.6267,0.7368,78888,0
0.7447,399.3289,0.7607,69453,0
0.7429,395.9871,0.7404,67969,0
0.7314,441.5179,0.7181,81893,0
0.7124,439.6744,0.6283,77054,0
0.6836,511.9081,0.7461,96178,0
0.7435,406.5734,0.7173,71768,0
0.7555,425.0978,0.6917,81013,0
0.7432,463.7824,0.7249,93313,0
0.7677,404.6336,0.7306,75795,0
0.7284,419.7002,0.6482,73412,0
0.7165,414.1029,0.6969,69144,0
0.7613,390.96,0.6752,69573,0
0.8126,355.0603,0.7443,65375,0
0.7346,393.3192,0.7296,65563,0
0.7327,452.934,0.7243,86505,0
0.7251,426.052,0.678,74948,0
0.6956,493.4909,0.6114,92547,0
0.7475,408.789,0.7165,73326,0
0.7692,448.7731,0.7353,93586,0
